index,Date,Adj Close
341,2001-09-07,2.950000047683716
342,2001-09-10,2.880000114440918
343,2001-09-17,2.470000028610229
344,2001-09-18,2.319999933242798
345,2001-09-19,2.039999961853028
346,2001-09-20,1.8899999856948853
347,2001-09-21,1.6799999475479126
348,2001-09-24,1.870000004768372
349,2001-09-25,1.9800000190734863
350,2001-09-26,1.75
351,2001-09-27,1.7799999713897705
352,2001-09-28,1.850000023841858
353,2001-10-01,1.899999976158142
354,2001-10-02,1.830000042915344
355,2001-10-03,1.7000000476837158
356,2001-10-04,1.559999942779541
357,2001-10-05,1.75
358,2001-10-08,1.8899999856948853
359,2001-10-09,1.850000023841858
360,2001-10-10,1.8899999856948853
361,2001-10-11,1.899999976158142
362,2001-10-12,1.7599999904632568
363,2001-10-15,1.7000000476837158
364,2001-10-16,1.649999976158142
365,2001-10-17,1.5800000429153442
366,2001-10-18,1.4500000476837158
367,2001-10-19,1.4600000381469729
368,2001-10-22,1.5099999904632568
369,2001-10-23,1.5
370,2001-10-24,1.409999966621399
371,2001-10-25,1.5399999618530271
372,2001-10-26,1.5099999904632568
373,2001-10-29,1.3300000429153442
374,2001-10-30,1.3300000429153442
375,2001-10-31,1.440000057220459
376,2001-11-01,1.3899999856948853
377,2001-11-02,1.3700000047683716
378,2001-11-05,1.409999966621399
379,2001-11-06,1.3600000143051147
380,2001-11-07,1.350000023841858
381,2001-11-08,1.3899999856948853
382,2001-11-09,1.4600000381469729
383,2001-11-12,1.4900000095367432
384,2001-11-13,1.4900000095367432
385,2001-11-14,1.4199999570846558
386,2001-11-15,1.4500000476837158
387,2001-11-16,1.4299999475479126
388,2001-11-19,1.440000057220459
389,2001-11-20,1.399999976158142
390,2001-11-21,1.5
391,2001-11-23,1.7699999809265137
392,2001-11-26,1.7599999904632568
393,2001-11-27,1.809999942779541
394,2001-11-28,1.6799999475479126
395,2001-11-29,1.6699999570846558
396,2001-11-30,1.6299999952316284
397,2001-12-03,1.5700000524520874
398,2001-12-04,1.6200000047683716
399,2001-12-05,1.830000042915344
400,2001-12-06,1.9900000095367432
401,2001-12-07,2.359999895095825
402,2001-12-10,2.190000057220459
403,2001-12-11,2.059999942779541
404,2001-12-12,2.0799999237060547
405,2001-12-13,1.9700000286102293
406,2001-12-14,1.909999966621399
407,2001-12-17,2.0799999237060547
408,2001-12-18,2.130000114440918
409,2001-12-19,2.0999999046325684
410,2001-12-20,2.1700000762939453
411,2001-12-21,2.220000028610229
412,2001-12-24,2.190000057220459
413,2001-12-26,2.119999885559082
414,2001-12-27,2.0
415,2001-12-28,2.059999942779541
416,2001-12-31,2.069999933242798
417,2002-01-02,2.25
418,2002-01-03,3.5
419,2002-01-04,3.0999999046325684
420,2002-01-07,3.0999999046325684
421,2002-01-08,3.0
422,2002-01-09,3.650000095367432
423,2002-01-10,3.3299999237060547
424,2002-01-11,3.200000047683716
425,2002-01-14,3.0999999046325684
